Date,Open,High,Low,Close,Volume
2000-08-15,46.591,47.9478,46.0265,47.3334,49374986.976869
2000-08-16,47.856,48.4714,47.1165,47.4672,35256593.59866
2000-08-17,47.768,49.8624,47.729,48.8631,58016105.775558
2000-08-18,49.5166,50.8695,48.9969,49.2089,51282260.632372
2000-08-21,50.6907,51.6529,49.2089,50.259,65936317.640107
2000-08-22,50.5218,51.3451,50.3009,50.3009,45405421.195598
2000-08-23,49.8262,52.2204,49.2938,52.0436,51828666.342471
2000-08-24,51.9997,52.8719,50.9153,51.7867,33456334.324975
2000-08-25,51.521,51.9196,50.6468,50.8695,29862264.301909
2000-08-28,51.0863,52.8719,50.9153,51.521,61260467.995209
2000-08-29,51.1284,52.2673,50.9955,51.6529,32983844.530387
2000-08-30,51.436,51.8688,50.7367,51.2602,31189176.912479
2000-08-31,51.521,52.743,51.3451,52.2204,40874262.554196
2000-09-01,52.743,52.783,51.2211,51.5698,26248855.872094
2000-09-05,49.5586,49.7754,47.5981,48.2946,83660531.503672
2000-09-06,47.4672,47.768,45.326,45.8056,89317892.820584
2000-09-07,46.4591,47.897,46.2013,47.0306,49735577.112933
2000-09-08,46.8518,47.0306,45.287,45.5849,42523378.205129
2000-09-11,45.7177,46.6359,44.5914,45.1033,43706741.279832
2000-09-12,45.373,46.6829,45.0232,45.287,41542737.73397
2000-09-13,43.011,44.149,42.1856,42.7111,100382894.07292
2000-09-14,43.5853,43.8413,41.3191,41.5741,72332924.106092
2000-09-15,41.6151,41.7499,39.4808,40.0943,108416439.85264
2000-09-18,40.7018,41.3191,38.6993,38.9152,72731052.659234
2000-09-19,39.8686,42.1856,39.6137,42.0977,84318258.460447
2000-09-20,42.7111,44.2808,42.1466,43.9732,100766131.33625
2000-09-21,43.2787,43.8921,42.0977,42.884,81821447.998251
2000-09-22,32.5875,34.5118,32.4175,33.4206,442305700.91076
2000-09-25,34.9005,34.9865,31.1935,31.6263,186550980.16683
2000-09-26,32.3754,32.4175,29.8417,30.1913,161432336.95115
2000-09-27,31.1046,31.8431,30.2802,30.5801,115134381.22933
2000-09-28,30.7521,31.0617,30.3213,30.9786,95613060.180726
2000-09-29,30.5381,30.5801,28.8346,28.9674,104562200.18025
